"

Simbawells

","",""
"

Karibu Kwetu Inn

","0.272431","34.75328"
"

Sahara West Park Hotel

","-1.205338","36.779324"
"

Eldoria Restaurant

","",""
"

WANNAH RESTAURANT

","0.515068","35.273376"
"

Seaside Restaurant

","-3.638434","39.848206"
"

Belcibo

","",""
"

Sunshine

","",""
"

The Sands Mandharini

","",""
"

Dream King

","",""
"

The Mouse & Byte

","0.456924","34.12147"
"

Palmer's Gardens

","",""
"

Daisy's Bar & Restaurant

","-3.5926","39.88794"
"

Siam Restaurant

","0.51739","35.27757"
"

Wild Living Cafe

","-3.60435","39.83847"
"

Narok Coffee House

","",""
"

Mission in Action Restaurant

","",""
"

Fred's Ranch & Resort

","-1.64592","36.873295"
"

Starbucks Restaurant and Hotel

","",""
"

Hussein Pan House

","-0.103108","34.756145"
"

Herisquare Lounge

","-1.205338","36.779324"
"

Ambokili lodge

","",""
"

Daisy's Bar & Restaurant

","-3.5926","39.88794"
"

Avenue Lounge bar and restaurant

","-0.28497","36.0693"
"

Nautilus

","-3.633667","39.84449"
"

Trendz lounge


(Nanyuki Town)

","",""
"

Sahara Coffee House

","",""
"

The Eldy Grill

","",""
"

Sabrina's


(Shela)

","",""
"

The Beach Bar

","-3.791158","39.839005"
"

New Minaa Cafe

","",""
"

Dunga Hill Camp

","-0.109241","34.75835"
"

The Mouse & Byte

","",""
"

Moca Loca Coffee & Lounge

","-0.28447","36.07138"
"

Funky Chicken

","-0.103108","34.756145"
"

Simba Club

","-0.093698","34.76586"
"

Karkadeh Restaurant

","",""
"

Makuti Hidden

","",""
"

Bakers Ppoint

","",""
"

Old Man and the Sea Restaurant

","-3.227675","40.12672"
"

Mount Longonot Transit Lodge

","",""
"

Camp Barnados Restaurant

","",""
"

New Victoria Hotel Restaurant

","-0.103108","34.756145"
"

Mamma Mia

","0.50559","35.28418"
"

Zen Garden Restaurant

","-1.244469","36.76963"
"

Hapa Hapa Restaurant

","",""
"

Aquarius Restaurant

","",""
"

Prestige Restuarant

","-3.950388","39.749588"
"

LE RUSTIQUE LTD


(Nanyuki Town)

","0.00755","37.07434"
"

Florence Restaurant

","-0.103108","34.756145"
"

Lamu House Beach Club

","-2.2962","40.92317"
"

Fantasy Seaside Resort Mtwapa

","",""
"

Fins Seafood & Grill


(Diani Beach)

","-4.290022","39.586784"
"

Yelogreen Hotel

","",""
"

Cleopatra's coldfire

","0.51622","35.27606"
"

Safari bite

","",""
"

Al Noor

","-0.103108","34.756145"
"

Mario's Bar Restaurant

","",""
"

Thai Chi Restaurant - The Stanley Hotel

","-1.28382","36.82276"
"

Manera Farm Shop

","-0.693993","36.41803"
"

Beaumont Resort

","",""
"

Moonrise Restaurant

","",""
"

Rift Valley Spur

","-0.701163","36.431004"
"

Ristorante Nelan Malindi

","",""
"

La Griglia Restaurant

","-3.206337","40.117393"
"

About Thyme

","-1.252796","36.80299"
"

The Old House


(Nanyuki Town)

","0.00755","37.07434"
"

Furusato Japanese Restaurant

","-1.2667","36.81674"
"

Klub kalahari

","-3.367975","39.99743"
"

Abyssinia

","-1.258031","36.7874"
"

Grill House

","-0.103108","34.756145"
"

Jumba Ruins Monsoons

","-3.944595","39.773003"
